Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,BB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,WHIP,BABIP,FIP,xFIP,GB%,FB%,SwStr%,PlayerId
Kyle Gibson,TBR,"A+,AAA",37,2,1,1.84,7,7,0,0,0,0,,29.1,116,22,7,8,2,0,0,35,10.74,2.45,4.38,0.31,30.2,6.9,23.3,1.02,0.300,2.56,3.14,42.9,27.1,12.6,10123
Erasmo Ramirez,MIN,"AAA,CPX",35,1,1,4.64,15,1,0,0,0,0,,21.1,94,24,12,6,0,0,1,20,8.44,2.53,3.33,0.42,21.3,6.4,14.9,1.41,0.343,3.09,3.31,56.9,18.5,9.0,10314
Michael Tonkin,MIN,"A,AAA",35,2,0,4.50,19,0,0,0,0,2,,30,129,29,17,7,5,1,0,37,11.10,2.10,5.29,2.10,28.7,5.4,23.3,1.20,0.301,5.27,3.83,38.5,35.9,12.8,10315
Michael Mariot,SEA,AAA,36,4,4,5.74,23,8,0,0,0,0,,69,323,93,47,25,5,2,0,52,6.78,3.26,2.08,1.43,16.1,7.7,8.4,1.71,0.357,5.84,6.72,28.0,47.0,8.6,10835
Casey Lawrence,SEA,AAA,37,9,3,5.31,20,19,1,0,0,0,,100,430,113,64,19,3,2,2,54,4.86,1.71,2.84,1.44,12.6,4.4,8.1,1.32,0.287,5.63,5.77,42.7,34.9,7.4,11121
David Buchanan,TEX,AAA,36,0,1,5.28,6,6,0,0,0,0,,29,134,38,21,12,1,0,0,19,5.90,3.72,1.58,1.55,14.2,9.0,5.2,1.72,0.340,6.24,5.14,60.6,18.2,8.5,11176
Vince Velasquez,CLE,AAA,33,5,4,3.42,18,18,0,0,0,0,,81.2,355,71,35,50,3,7,1,95,10.47,5.51,1.90,0.88,26.8,14.1,12.7,1.48,0.317,4.39,4.87,33.3,41.2,10.5,11189
Jose Urena,NYM,AAA,33,0,2,3.57,9,7,0,0,0,0,,22.2,101,22,9,14,3,0,1,21,8.34,5.56,1.50,0.40,20.8,13.9,6.9,1.59,0.339,4.47,5.17,46.0,27.0,11.3,11589
Noah Syndergaard,CHW,"AAA,CPX",32,1,1,5.40,6,6,0,0,0,0,,23.1,95,24,15,2,0,1,0,14,5.40,0.77,7.00,1.93,14.7,2.1,12.6,1.11,0.257,6.00,5.47,35.9,50.0,14.4,11762
Scott McGough,OAK,AAA,35,5,0,3.32,30,0,0,0,1,1,,40.2,173,41,17,13,2,3,0,40,8.85,2.88,3.08,0.66,23.1,7.5,15.6,1.33,0.330,4.06,4.51,51.3,27.0,14.7,12056
Aaron Brooks,OAK,"AA,AAA",35,3,7,5.56,18,14,0,0,0,1,,87.1,396,103,66,35,3,1,0,66,6.80,3.61,1.89,1.65,16.7,8.8,7.8,1.58,0.315,6.08,5.10,53.0,24.7,8.1,12272
Jacob Barnes,TOR,AAA,35,2,1,6.84,22,0,0,0,1,1,,25,119,35,24,12,0,0,1,20,7.20,4.32,1.67,1.80,16.8,10.1,6.7,1.88,0.366,5.94,5.25,42.4,32.9,10.3,12323
Adrian Houser,TEX,AAA,32,2,2,5.03,9,8,0,0,0,0,,39.1,162,30,22,15,5,0,1,37,8.47,3.43,2.47,0.92,22.8,9.3,13.6,1.14,0.257,4.93,4.68,57.3,22.3,8.9,12718
Chris Devenski,NYM,AAA,34,0,3,3.35,35,1,0,0,4,4,,37.2,154,39,18,8,0,1,0,32,7.65,1.91,4.00,1.67,20.8,5.2,15.6,1.25,0.299,4.85,3.89,45.5,28.6,13.6,12763
John Brebbia,ATL,AAA,35,1,1,2.18,17,1,0,0,2,2,,20.2,85,19,7,4,0,1,0,22,9.58,1.74,5.50,0.44,25.9,4.7,21.2,1.11,0.310,2.58,4.18,36.2,46.6,9.9,12777
